"1457","DE LAGE LANDEN INTERNATIONAL B.V.","LLISESM1XXX"
"1459","RABOBANK INTERNATIONAL","PRABESMMXXX"
"1460","CREDIT SUISSE AG","CRESESMMXXX"
"1463","BANQUE PSA FINANCE","PSABESM1XXX"
"1465","ING DIRECT N.V.","INGDESMMXXX"
"1467","HYPOTHEKENBANK FRANKFURT AG","EHYPESMXXXX"
"1470","BANCO PORTUGUES DE INVESTIMENTO","BPIPESM1XXX"
"1472","CREDIT AGRICOLE LEASING & FACTORING","UCSSESM1XXX"
"1473","BANQUE PRIVEE EDMOND DE ROTHSCHILD","PRIBESMXXXX"
"1474","CITIBANK INTERNATIONAL PLC","CITIESMXSEC"
"1475","CORTAL CONSORS","CCSEESM1XXX"
"1479","NATIXIS SUCURSAL EN ESPA¥A","NATXESMMXXX"
"1480","VOLKSWAGEN BANK GMBH","VOWAES21XXX"
"1485","BANK OF AMERICA N.A.","BOFAES2XXXX"
"1488","PICTET & CIE (EUROPE)","PICTESMMXXX"
"1490","SELF TRADE BANK","SELFESMMXXX"
"1491","TRIODOS BANK N.V.","TRIOESMMXXX"
"1494","INTESA SANPAOLO, S.P.A.","BCITESMMXXX"
"1497","BANCO ESPIRITO SANTO DE INVESTIMENTO","ESSIESMMXXX"
"1501","DEUTSCHE PFANDBRIEFBANK, AG","DPBBESM1XXX"
"1502","IKB DEUTSCHE INDUSTRIEBANK AG.","IKBDESM1XXX"
"1505","EUROPE ARAB BANK PLC","ARABESMMXXX"
"1506","INTERNATIONAL BANK LTD","MLCBESM1XXX"
"1522","EFG BANK SUCURSAL EN ESPA¥A","EFGBESMMXXX"
"1524","UBI BANCA INTERNATIONAL","UBIBESMMXXX"
"1525","BANQUE CHAABI DU MAROC","BCDMESM1XXX"
"1534","KBL EUROPEAN PRIVATE BANKERS","KBLXESMMXXX"
"1535","AKFBANK GMBH &CO KG","AKFBDE31XXX"
"1538","INDUSTRIAL &COMMERCIAL BANK OF CHINA","ICBKESM1XXX"
"1541","ATTIJARIWAFA BANK EUROPE","BCMAESM1XXX"
"1544","ANDBANK LUXEMBOURG","BACALULLXXX"
"1545","CREDIT AGRICOLE LUXEMBOURG","AGRIESMMXXX"
"2000","CECABANK","CECAESMMXXX"
"2013","CATALUNYA BANC","CESCESBBXXX"
"2017","CAJA CIRCULO","CECAESMM017"
"2018","CAJA DE BURGOS","CAIXESBBXXX"
"2024","CAJA SUR","BASKES2BXXX"
"2030","CAIXA GIRONA","CAIXESBBXXX"
"2031","CAJA GRANADA","CECAESMM031"
"2037","CAJA RIOJA","CAHMESMMXXX"
"2038","BANKIA","CAHMESMMXXX"
"2041","CAIXA MANRESA","CESCESBBXXX"
"2042","CAIXA LAIETANA","CAHMESMMXXX"
"2043","CAJA MURCIA","CECAESMM043"
"2048","LIBERBANK","CECAESMM048"
"2051","SA NOSTRA","CECAESMM051"
"2054","CAJA NAVARRA","CAIXESBBXXX"
"2059","CAIXA SABADELL","BBVAESMMXXX"
"2066","CAJA CANTABRIA","CECAESMM048"
"2069","CAJA DE SEGOVIA","CAHMESMMXXX"
"2071","CAJA DE AHORROS PROV SEVILLA","CECAESMM071"
"2073","CAIXA TARRAGONA","CESCESBBXXX"
"2074","CAIXA TERRASSA","BBVAESMMXXX"
"2077","TUBANCAJA.ES","CAHMESMMXXX"
"2080","NCG BANCO","CAGLESMMXXX"
"2081","CAIXA PENEDES","CECAESMM081"
"2085","IBERCAJA BANCO","CAZRES2ZXXX"
"2086","BANCO GRUPO CAJATRES","CECAESMM086"
"2090","BANCO CAM","BSABESBBXXX"
"2091","CAIXA GALICIA","CAGLESMMXXX"
"2095","KUTXABANK","BASKES2BXXX"
"2096","CAJA ESPA¥A","CSPAES2LXXX"
"2097","CAJA VITAL KUTXA","BASKES2BXXX"
"2099","CAJA EXTREMADURA","CECAESMM099"
"2100","CAIXABANK","CAIXESBBXXX"
"2103","UNICAJA BANCO","UCJAES2MXXX"
"2104","CAJA DUERO","CSSOES2SXXX"
"2105","CAJA DE AHORROS DE CASTILLA-LA MANCHA","CECAESMM105"
"2108","BANCO DE C.ESPA¥A IN.SALAMANCA SORIA","CSPAES2L108"
"3001","CAJA RURAL DE ALMENDRALEJO","BCOEESMM001"
"3005","CAJA RURAL CENTRAL","BCOEESMM005"
"3007","CAJA RURAL DE GIJON","BCOEESMM007"
"3008","CAJA RURAL DE NAVARRA","BCOEESMM008"
"3009","C.R.DE EXTREMADURA GRUP.COOP.IBERICO","BCOEESMM009"
"3016","CAJA RURAL DE SALAMANCA","BCOEESMM016"
"3017","CAJA RURAL DE SORIA","BCOEESMM017"
"3018","C.R. REGIONAL SAN AGUSTIN","BCOEESMM018"
"3020","C.R. DE UTRERA S. COOP.","BCOEESMM020"
"3023","CAJA RURAL DE GRANADA","BCOEESMM023"
"3025","CAIXA DE C. DELS ENGINYERS","CDENESBBXXX"
"3029","CAJA DE CREDITO DE PETREL","CCRIES2A029"
"3035","CAJA LABORAL POPULAR","CLPEES2MXXX"
"3045","CAIXA RURAL ALTEA","CCRIES2A045"
"3058","CAJAS RURALES UNIDAS,SDAD.COOP.CDTO.","CCRIES2AXXX"
"3059","CAJA RURAL DE ASTURIAS","BCOEESMM059"
"3060","C.R.BURGOS,FUENTEP.,SEGOVIA Y CASTEL","BCOEESMM060"
"3063","CAJA RURAL DE CORDOBA","BCOEESMM063"
"3067","C.R. DE JAEN, BARCELONA Y MADRID","BCOEESMM067"
"3070","CAIXA RURAL GALEGA","BCOEESMM070"
"3076","CAJASIETE,CAJA RURAL SDAD.COOP.CDTO.","BCOEESMM076"
"3080","CAJA RURAL DE TERUEL","BCOEESMM080"
"3081","CAJA RURAL DE CASTILLA-LA MANCHA","BCOEESMM081"
"3084","IPAR KUTXA RURAL","CVRVES2BXXX"
"3085","CAJA RURAL DE ZAMORA","BCOEESMM085"
"3089","C.R.DE BAENA NTRA.SRA.DE GUADALUPE","BCOEESMM089"
"3094","CAJA CAMPO","CCRIES2AXXX"
"3095","C.R. SAN ROQUE COOP.CTO.V.","CCRIES2A095"
"3096","CAIXA RURAL DE L'ALCUDIA","BCOEESMM096"
"3098","C.R. NUESTRA SRA. DEL ROSARIO","BCOEESMM098"
"3102","CAIXA RURAL SANT VICENT FERRER","BCOEESMM102"
"3104","C.R. DE CA¥ETE DE LAS TORRES","BCOEESMM104"
"3105","CAIXA RURAL DE CALLOSA D'EN SARRIA","CCRIES2A105"
"3110","CAJA RURAL CATOLICO AGRARIA","BCOEESMM110"
"3111","C.R. LA VALL SAN ISIDRO","BCOEESMM111"
"3112","C.R. SAN JOSE DE BURRIANA","CCRIES2A112"
"3113","C.R. SAN JOSE DE ALCORA COOP.CTO.V.","BCOEESMM113"
"3115","C.R. NUESTRA SRA. MADRE SOL","BCOEESMM115"
"3116","C.R. COMARCAL DE MOTA DEL CUERVO","BCOEESMM116"
"3117","CAIXA RURAL D'ALGEMESI","BCOEESMM117"
"3118","CAIXA RURAL TORRENT","CCRIES2A118"
"3119","C.R. SAN JAIME COOP.CTO.V.","CCRIES2A119"
"3121","CAJA RURAL DE CHESTE","CCRIES2A121"
"3123","CAIXA RURAL DE TURIS","CCRIES2A123"
"3127","CAJA RURAL DE CASAS IBA¥EZ","BCOEESMM127"
"3130","C.R. SAN JOSE DE ALMASSORA","BCOEESMM130"
"3134","C.R. NTRA. SRA. DE LA ESPERANZA","BCOEESMM134"
"3135","C.R. SAN JOSE DE NULES","CCRIES2A135"
"3137","CAJA RURAL DE CASINOS","CCRIES2A137"
"3138","CAJA RURAL DE BETXI","BCOEESMM138"
"3140","CAJA RURAL DE GUISSONA","BCOEESMM140"
"3144","CAJA RURAL DE VILLAMALEA","BCOEESMM144"
"3146","CAJA DE CREDITO COOPERATIVO,S.C.CTO.","CCCVESM1XXX"
"3150","CAJA RURAL DE ALBAL","BCOEESMM150"
"3152","CAJA RURAL DE VILLAR","CCRIES2A152"
"3157","C.R. DE LA JUNQUERA DE CHILCHES","CCRIES2A157"
"3159","CAIXA POPULAR-CAIXA RURAL","BCOEESMM159"
"3160","C.R. SANT JOSEP DE VILAVELLA","CCRIES2A160"
"3162","CAIXA RURAL BENICARLO","BCOEESMM162"
"3165","C.R. SAN ISIDRO DE VILAFAMES","CCRIES2A165"
"3166","CAIXA RURAL LES COVES DE VINROMA","BCOEESMM166"
"3174","CAIXA RURAL VINAROS COOP.C.V..","BCOEESMM174"
"3177","CAJA RURAL DE CANARIAS","BCOEESMM177"
"3179","CAJA RURAL DE ALGINET","CCRIES2A179"
"3183","CAJA DE ARQUITECTOS S.COOP.CTO.","CASDESBBXXX"
"3186","CAIXA RURAL ALBALAT DELS SORELLS","CCRIES2A186"
"3187","CAJA RURAL DEL SUR","BCOEESMM187"
"3188","CREDIT VALENCIA CAJA RURAL","CCRIES2A188"
"3190","C.R.DE ALBACETE,CIUDAD REAL Y CUENCA","BCOEESMM190"
"3191","NUEVA CAJA RURAL DE ARAGON","BCOEESMM191"
"9000","BANCO DE ESPA¥A","ESPBESMMXXX"
