COD_TIPO,COD_BE,ORD_TIPO,NOMBRE50,NOMBRE105,OBSERVACIONES,CODIGOCIF,SIGLAVIA,NOMBREVIA,NUMEROVIA,RESTODOM,CODPOSTAL,POBLACION,PROVINCIA,CODPAIS,SERVTASA,TELEFONO,PENDBAJA,NUMFAX,DIRINTERNET,FCHBAJA,MOTBAJA,CODENTSUC,FECHACTUALIZA,FECHAALTA,CODAUT,CODPROV,NOMCOMERCIAL,INDICATIVONC,NOMENTMATRIZ,DIRENTMATRIZ,LOCENTMATRIZ,CPENTMATRIZ,TELENTMATRIZ,FAXENTMATRIZ,INTERNETENTMATRIZ,COD_AUTONOMIA,NOMBRE105_ENT_SUC,NOMBRE35,ANAGRAMA,CODPAISMATRIZ,DESC_VARIACION,SALVAGUARDA,EXCLUSIVIDAD,CORTE_REGISTRAL,CODIGO_LEI,COD_BE_PREVIO,AGRUPACIONGEO,BIC
BP,0038,20000,"SANTANDER SECURITIES SERVICES, S.A.","SANTANDER SECURITIES SERVICES, S.A.",,A28027274,AV,DE CANTABRIA,S/N,,28660,BOADILLA DEL MONTE,MADRID,ES,,0912896445,,,,,,0000,21/11/2014,17/03/1947,,28,,N,,,,,,,,12,,"SANTANDER SECURITIES SERVICES, S.A.",SANTANDER SECUR,ES,,,,,95980020140005970915,0000,,
BP,0049,20000,"BANCO SANTANDER, S.A.","BANCO SANTANDER, S.A.",,A39000013,PS,DE PEREDA,9-12,,39004,SANTANDER,CANTABRIA,ES,,0942206100,,0915813388,www.santander.com,,,0000,07/09/2018,17/03/1947,,39,SANTANDER,S,,,,,,,,06,,"BANCO SANTANDER,SA",SANTANDER,ES,,,,,5493006QMFDDMYWIAM13,0000,,BSCHESMMXXX
BP,0058,20000,"BNP PARIBAS ESPAÑA, S.A.","BNP PARIBAS ESPAÑA, S.A.",,A28000370,CL,EMILIO VARGAS,4,,28043,MADRID,,ES,,0913888999,,0913888554,WWW.BANCAPRIVADA.BNPPARIBAS.ES,,,0000,01/02/2017,17/03/1947,,28,,N,,,,,,,,12,,"BNP PARIBAS ESPAÑA, S.A.","BNP PARIBAS, SA",ES,,,,,95980020140005022740,0000,,BNPAESMMXXX
BP,0061,20000,"BANCA MARCH, S.A.","BANCA MARCH, S.A.",,A07004021,AV,ALEJANDRO ROSELLO,8,,7002,PALMA,ILLES BALEARS,ES,,0971779100,,0971469929,WWW.BANCAMARCH.ES,,,0000,02/06/2017,17/03/1947,,07,,N,,,,,,,,04,,"BANCA MARCH, S.A.",BANCA MARCH,ES,,,,,959800LQ598A5RQASA61,0000,,BMARES2MXXX
BP,0073,20000,"OPEN BANK, S.A.","OPEN BANK, S.A.",,A28021079,AV,CANTABRIA,S/N,CIUDAD GR. SANTANDER,28660,BOADILLA DEL MONTE,MADRID,ES,,0913421000,,0913421043,WWW.OPENBANK.ES,,,0000,18/08/2017,17/03/1947,,28,,N,,,,,,,,12,,"OPEN BANK, S.A.",OPEN BANK,ES,,,,,95980020140006024944,0000,,OPENESMMXXX
BP,0078,20000,"BANCA PUEYO, S.A.","BANCA PUEYO, S.A.",,A06001671,CL,NUESTRA SEÑORA DE GUADALUPE,2,,6700,VILLANUEVA DE LA SERENA,BADAJOZ,ES,,0924846008,,0924846008,WWW.BANCAPUEYO.ES,,,0000,06/07/2018,17/03/1947,,06,BANCA PUEYO,S,,,,,,,,10,,"BANCA PUEYO, S.A.",BANCA PUEYO,ES,,,,,95980020140005487855,0000,,BAPUES22XXX
BP,0081,20000,"BANCO DE SABADELL, S.A.","BANCO DE SABADELL, S.A.",,A08000143,AV,OSCAR ESPLA,37,,3007,ALICANTE,,ES,,0937289289,,0937271867,WWW.GRUPOBANCOSABADELL.COM,,,0000,06/10/2017,17/03/1947,,03,,N,,,,,,,,15,,"BANCO DE SABADELL, S.A.",BANCO SABADELL,ES,CAMBIO DE DOMICILIO,,,D,SI5RG2M0WQQLZCXKRM20,0000,,BSABESBBXXX
BP,0083,20000,"RENTA 4 BANCO, S.A.","RENTA 4 BANCO, S.A.",,A82473018,PS,DE LA HABANA,74,,28036,MADRID,,ES,,0913848500,,0913848507,,,,0000,19/11/2015,09/02/2012,,28,,N,,,,,,,,12,,"RENTA 4 BANCO, S.A.",RENTA 4,ES,,,,,213800IMKAUV5KW28586,0000,,RENBESMMXXX
BP,0091,20000,"BANCO DE ALBACETE, S.A.","BANCO DE ALBACETE, S.A.",,A02000974,AV,DE CANTABRIA,S/N,CIUDAD GRP.SANTANDER,28660,BOADILLA DEL MONTE,MADRID,ES,,0913422881,,0913422884,WWW.BANCODEALBACETE.ES,,,0000,20/02/2017,09/05/1947,,28,,N,,,,,,,,12,,"BANCO DE ALBACETE, S.A.",BANCO ALBACETE,ES,,,,,959800MZYB6CKWA9K382,0000,,ALACESM1XXX
BP,0113,20000,"BANCO INDUSTRIAL DE BILBAO, S.A.","BANCO INDUSTRIAL DE BILBAO, S.A.",,A48036990,CL,GRAN VIA DON DIEGO LOPEZ HARO,12,,48009,BILBAO,BIZKAIA,ES,,0944876571,,0944876674,,,,0000,26/01/2017,28/07/1964,,48,,N,,,,,,,,16,,"BANCO INDUSTRIAL DE BILBAO, S.A.",INDUST. BILBAO,ES,,,,,95980020140005803881,0000,,INBBESM1XXX
BP,0121,20000,"BANCO OCCIDENTAL, S.A.","BANCO OCCIDENTAL, S.A.",,A28137958,CL,AZUL,4,,28050,MADRID,,ES,,0944876571,,0944876674,,,,0000,26/01/2017,24/11/1964,,28,,N,,,,,,,,12,,"BANCO OCCIDENTAL, S.A.",OCCIDENTAL,ES,,,,,95980020140005816006,0000,,
BP,0122,20000,"CITIBANK ESPAÑA, S.A.","CITIBANK ESPAÑA, S.A.",,A28142081,CL,JOSE ORTEGA Y GASSET,29,EDIFICIO BEATRIZ,28006,MADRID,MADRID,ES,,0915384115,,0916631086,WWW.CITIBANK.ES,,,0000,07/04/2017,05/01/1965,,28,,N,,,,,,,,12,,"CITIBANK ESPAÑA, S.A.",CITIBANK ESPAÑA,ES,,,,,HHY6OGOQAUUT1FUCOL70,0000,,CITIES2XXXX
BP,0125,20000,"BANCOFAR, S.A.","BANCOFAR, S.A.",,A45002599,CL,FORTUNY,51,,28010,MADRID,,ES,,0917023190,,0917023194,WWW.BANCOFAR.ES,,,0000,29/12/2014,20/04/1965,,28,,N,,,,,,,,12,,"BANCOFAR, S.A.",BANCOFAR,ES,,,,,95980020140005879153,0000,,BAOFESM1XXX
BP,0128,20000,"BANKINTER, S.A.","BANKINTER, S.A.",,A28157360,PS,DE LA CASTELLANA,29,,28046,MADRID,,ES,,0913397500,,0913397522,WWW.EBANKINTER.COM,,,0000,10/08/2017,16/06/1965,,28,,N,,,,,,,,12,,"BANKINTER, S.A.",BANKINTER,ES,,,,,VWMYAEQSTOPNV0SUGU82,0000,,BKBKESMMXXX
BP,0130,20000,"BANCO CAIXA GERAL, S.A.","BANCO CAIXA GERAL, S.A.",,A28226157,CL,POLICARPO SANZ,5,,36202,VIGO,PONTEVEDRA,ES,,0986810700,,0986810710,WWW.BANCOCAIXAGERAL.ES,,,0000,03/05/2016,19/09/1969,,36,,N,,,,,,,,11,,"BANCO CAIXA GERAL, S.A.",B. CAIXA GERAL,ES,,,,,95980020140005487661,0000,,
BP,0133,20000,"NUEVO MICRO BANK, S.A.","NUEVO MICRO BANK, S.A.",,A65619421,CL,ADUANA,18,,28013,MADRID,,ES,,0932813750,,0932813751,WWW.MICROBANKLACAIXA.COM,,,0000,12/04/2018,12/08/2011,,28,,N,,,,,,,,12,,"NUEVO MICRO BANK, S.A.",MICRO BANK,ES,CAMBIO DE DOMICILIO,,,D,95980020140005635198,0000,,MIKBESB1XXX
BP,0136,20000,"ARESBANK, S.A.","ARESBANK, S.A.",,A28386191,PS,DE LA CASTELLANA,257,,28046,MADRID,,ES,,0913149595,,0913149768,WWW.ARESBANK.ES,,,0000,27/10/2014,02/04/1975,,28,ARESBANK,S,,,,,,,,12,,"ARESBANK, S.A.",ARESBANK,ES,,,,,95980020140005658381,0000,,AREBESMMXXX
BP,0138,20000,"BANKOA, S.A.","BANKOA, S.A.",,A20043717,AV,DE LA LIBERTAD,5,,20004,SAN SEBASTIAN,GIPUZKOA,ES,,0943410100,,0943429414,WWW.BANKOA.ES,,,0000,17/12/2014,22/04/1975,,20,,N,,,,,,,,16,,"BANKOA, S.A.",BANKOA,ES,,,,,9598004AD4ZYT23URU08,0000,,BKOAES22XXX
BP,0182,20000,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.","BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",,A48265169,PZ,DE SAN NICOLAS,4,,48005,BILBAO,BIZKAIA,ES,R,0944876000,,0944876417,WWW.BBVA.COM,,,0000,18/05/2018,01/10/1988,,48,BBVA,S,,,,,,,,16,,"BANCO BILBAO VIZCAYA ARGENTARIA, SA",BBVA,ES,,,,,K8MS7FD7N5Z2WQ51AZ71,0000,,BBVAESMMXXX
BP,0184,20000,"BANCO EUROPEO DE FINANZAS, S.A.","BANCO EUROPEO DE FINANZAS, S.A.",,A78963816,CL,BOLSA,4,PLANTA 1ª,29015,MALAGA,MALAGA,ES,,0952367955,,0952367956,WWW.BEF.ES,,,0000,30/06/2015,12/01/1989,,29,,N,,,,,,,,01,,"BANCO EUROPEO DE FINANZAS, S.A.",EUROP. FINANZAS,ES,CAMBIO DE DOMICILIO,,,D,549300CM3R8O9D5Q9M94,0000,,BEDFESM1XXX
BP,0186,20000,"BANCO MEDIOLANUM, S.A.","BANCO MEDIOLANUM, S.A.",,A58640582,CL,ROGER DE LAURIA,19,2,46002,VALENCIA,,ES,,0932535400,,0932535430,WWW.BANCOMEDIOLANUM.ES,,,0000,09/10/2017,16/02/1989,,46,BANCOMEDIOLANUM,S,,,,,,,,15,,"BANCO MEDIOLANUM, S.A.",BANCOMEDIOLANUM,ES,CAMBIO DE DOMICILIO,,,D,2138001YBO7CJNQOEE37,0000,,BFIVESBBXXX
BP,0188,20000,"BANCO ALCALA, S.A.","BANCO ALCALA, S.A.",,A79074274,CL,JOSE ORTEGA Y GASSET,7,,28006,MADRID,,ES,,0911750700,,0915755251,WWW.BANCOALCALA.ES,,,0000,23/11/2015,04/05/1989,,28,,N,,,,,,,,12,,"BANCO ALCALA, S.A.",BANCO ALCALA,ES,,,,,95980020140005317135,0000,,ALCLESMMXXX
BP,0198,20000,"BANCO COOPERATIVO ESPAÑOL, S.A.","BANCO COOPERATIVO ESPAÑOL, S.A.",,A79496055,CL,VIRGEN DE LOS PELIGROS,4,,28013,MADRID,,ES,,0915956700,,0915956800,WWW.BANCOCOOPERATIVO.ES,,,0000,24/10/2014,11/09/1990,,28,,N,,,,,,,,12,,"BANCO COOPERATIVO ESPAÑOL, S.A.",COOPERATIVO,ES,,,,,549300LYFYVPUCG6SY25,0000,,BCOEESMMXXX
BP,0200,20000,"BANK DEGROOF PETERCAM SPAIN, S.A.","BANK DEGROOF PETERCAM SPAIN, S.A.",,A58891672,PZ,DEL AYUNTAMIENTO,26,,46002,VALENCIA,,ES,,0934458500,,0934458501,WWW.PRIVATBANK.ES,,,0000,23/10/2017,06/11/1990,,46,,N,,,,,,,,15,,"BANK DEGROOF PETERCAM SPAIN, S.A.",BANK DEGROOF PE,ES,CAMBIO DE DOMICILIO,,,D,95980020140005218292,0000,,PRVBESB1XXX
